Episode,Event,X_Pos
1839,death,673
1840,death,1432
1841,death,308
1842,death,298
1843,death,679
1844,death,839
1845,death,824
1846,death,313
1847,death,289
1848,death,300
1849,death,290
1850,death,314
1851,death,833
1852,death,845
1853,death,899
1854,death,302
1855,death,680
1856,death,723
1857,death,310
1858,death,308
1859,death,1127
1860,death,292
1861,death,308
1862,death,1125
1863,death,303
1864,death,862
1865,death,292
1866,death,821
1867,death,287
1868,death,1124
1869,death,680
1870,death,1240
1871,death,709
1872,death,885
1873,death,816
1874,death,308
1875,death,677
1876,death,848
1877,death,301
1878,death,312
1879,death,1132
1880,death,303
1881,death,701
1882,death,670
1883,death,305
1884,death,1130
1885,death,313
1886,death,311
1887,death,677
1888,death,808
1889,death,722
1890,death,1423
1891,death,312
1892,death,300
1893,death,1222
1894,death,1125
1895,death,899
1896,death,297
1897,death,724
1898,death,692
1899,death,678
1900,death,1134
1901,death,1401
1902,death,309
1903,death,284
1904,death,703
1905,death,297
1906,death,293
1907,death,815
1908,death,900
1909,death,690
1910,death,303
1911,death,282
1912,death,300
1913,death,308
1914,death,723
1915,death,854
1916,death,711
1917,death,307
1918,death,692
1919,death,301
1920,death,687
1921,death,1120
1922,death,300
1923,death,1137
1924,death,1243
1925,death,784
1926,death,1137
1927,death,1125
1928,death,1151
1929,death,1663
1930,death,297
1931,death,706
1932,death,1131
1933,death,313
1934,death,704
1935,death,678
1936,death,1410
1937,death,1216
1938,death,266
1939,death,670
1940,death,686
1941,death,1122
1942,death,696
1943,death,1504
1944,death,1126
1945,death,314
1946,death,710
1947,death,1435
1948,death,311
1949,death,817
1950,death,864
1951,death,290
1952,death,309
1953,death,881
1954,death,828
1955,death,688
1956,death,695
1957,death,299
1958,death,301
1959,death,311
1960,death,1127
1961,death,286
1962,death,1149
1963,death,306
1964,death,900
1965,death,309
1966,death,312
1967,death,690
1968,death,296
1969,death,308
1970,death,314
1971,death,803
1972,death,825
1973,death,830
1974,death,696
1975,death,292
1976,death,1522
1977,death,298
1978,death,723
1979,death,707
1980,death,300
1981,death,803
1982,death,293
1983,death,846
1984,death,723
1985,death,702
1986,death,701
1987,death,699
1988,death,276
1989,death,1126
1990,death,292
1991,death,848
1992,death,660
1993,death,1780
1994,death,1125
1995,death,698
1996,death,679
1997,death,292
1998,death,711
1999,death,832
2000,death,881
2001,death,690
2002,death,1132
2003,death,684
2004,death,1123
2005,death,674
2006,death,723
2007,death,299
2008,death,1495
2009,death,290
2010,death,306
2011,death,684
2012,death,303
2013,death,675
2014,death,1219
2015,death,685
2016,death,273
2017,death,662
2018,death,1126
2019,death,302
2020,death,306
2021,death,703
2022,death,310
2023,death,307
2024,death,670
2025,death,701
2026,death,311
2027,death,723
2028,death,289
2029,death,699
2030,death,678
2031,death,303
2032,death,299
2033,death,692
2034,death,702
2035,death,265
2036,death,868
2037,death,287
2038,death,294
2039,death,1139
2040,death,1126
2041,death,674
2042,death,688
2043,death,698
2044,death,709
2045,death,305
2046,death,899
2047,death,1125
2048,death,695
2049,death,289
2050,death,314
2051,death,302
2052,death,898
2053,death,1434
2054,death,1124
2055,death,306
2056,death,260
2057,death,307
2058,death,702
2059,death,690
2060,death,304
2061,death,298
2062,death,667
2063,death,723
2064,death,700
2065,death,305
2066,death,1122
