Episode,Event,X_Pos
1695,death,683
1696,death,2747
1697,death,287
1698,death,298
1699,death,681
1700,death,1126
1701,death,1150
1702,death,898
1703,death,722
1704,death,1129
1705,death,839
1706,death,691
1707,death,1137
1708,death,705
1709,death,837
1710,death,268
1711,death,709
1712,death,309
1713,death,899
1714,death,259
1715,death,258
1716,death,706
1717,death,723
1718,death,697
1719,death,293
1720,death,300
1721,death,690
1722,death,723
1723,death,304
1724,death,675
1725,death,854
1726,death,693
1727,death,304
1728,death,1127
1729,death,1397
1730,death,306
1731,death,722
1732,death,697
1733,death,807
1734,death,700
1735,death,297
1736,death,707
1737,death,296
1738,death,301
1739,death,313
1740,death,281
1741,death,899
1742,death,1411
1743,death,898
1744,death,899
1745,death,288
1746,death,702
1747,death,295
1748,death,1124
1749,death,871
1750,death,291
1751,death,303
1752,death,867
1753,death,314
1754,death,297
1755,death,685
1756,death,307
1757,death,722
1758,death,695
1759,death,723
1760,death,1264
1761,death,1410
1762,death,1375
1763,death,900
1764,death,1409
1765,death,1130
1766,death,1214
1767,death,848
1768,death,690
1769,death,297
1770,death,684
1771,death,295
1772,death,700
1773,death,695
1774,death,899
1775,death,675
1776,death,310
1777,death,310
1778,death,695
1779,death,1129
1780,death,1434
1781,death,702
1782,death,898
1783,death,692
1784,death,700
1785,death,671
1786,death,668
1787,death,310
1788,death,302
1789,death,305
1790,death,282
1791,death,301
1792,death,696
1793,death,1516
1794,death,306
1795,death,1412
1796,death,293
1797,death,283
1798,death,300
1799,death,820
1800,death,723
1801,death,682
1802,death,1126
1803,death,695
1804,death,700
1805,death,1234
1806,death,684
1807,death,685
1808,death,294
1809,death,696
1810,death,1126
1811,death,1498
1812,death,1135
1813,death,1122
1814,death,723
1815,death,303
1816,death,278
1817,death,687
1818,death,690
1819,death,295
1820,death,1645
1821,death,694
1822,death,832
1823,death,722
1824,death,1530
1825,death,304
1826,death,1411
1827,death,708
1828,death,700
1829,death,1428
1830,death,699
1831,death,697
1832,death,696
1833,death,289
1834,death,299
1835,death,899
1836,death,1124
1837,death,1434
1838,death,291
1839,death,283
1840,death,292
1841,death,724
1842,death,313
1843,death,703
1844,death,709
1845,death,707
1846,death,305
1847,death,1221
1848,death,700
1849,death,273
1850,death,1936
1851,death,1137
1852,death,701
1853,death,687
1854,death,670
1855,death,853
1856,death,691
1857,death,724
1858,death,281
1859,death,307
1860,death,315
1861,death,709
1862,death,697
1863,death,679
1864,death,288
1865,death,285
1866,death,1413
1867,death,303
1868,death,1127
1869,death,1130
1870,death,693
1871,death,315
1872,death,308
1873,death,847
1874,death,292
1875,death,304
1876,death,688
1877,death,675
1878,death,298
1879,death,710
1880,death,722
1881,death,1221
1882,death,1124
1883,death,288
1884,death,899
1885,death,879
1886,death,310
1887,death,1128
1888,death,1129
1889,death,1127
1890,death,669
1891,death,693
1892,death,722
1893,death,301
1894,death,702
1895,death,722
1896,death,311
1897,death,814
1898,death,301
1899,death,1127
1900,death,680
1901,death,722
1902,death,1137
1903,death,313
1904,death,269
1905,death,1664
1906,death,249
1907,death,857
1908,death,724
1909,death,1129
1910,death,723
1911,death,311
1912,death,1135
1913,death,899
1914,death,689
1915,death,300
1916,death,1412
1917,death,843
1918,death,899
1919,death,724
1920,death,311
1921,death,700
1922,death,292
1923,death,301
1924,death,279
1925,death,296
1926,death,1123
1927,death,303
1928,death,294
1929,death,1136
1930,death,1524
1931,death,724
1932,death,275
1933,death,1392
1934,death,1509
1935,death,1128
1936,death,296
1937,death,709
1938,death,808
1939,death,1414
1940,death,687
1941,death,293
1942,death,308
1943,death,301
1944,death,695
1945,death,1408
1946,death,1134
1947,death,697
1948,death,286
1949,death,307
1950,death,1126
1951,death,676
1952,death,679
1953,death,899
1954,death,287
1955,death,898
1956,death,287
1957,death,1123
1958,death,677
1959,death,279
1960,death,307
1961,death,312
1962,death,706
1963,death,828
1964,death,314
1965,death,847
1966,death,315
1967,death,300
1968,death,313
1969,death,688
1970,death,704
1971,death,686
1972,death,671
1973,death,293
1974,death,1408
1975,death,288
1976,death,301
1977,death,266
1978,death,310
1979,death,1139
1980,death,289
1981,death,309
1982,death,1669
1983,death,679
1984,death,309
1985,death,314
1986,death,298
1987,death,1435
1988,death,282
1989,death,898
1990,death,844
1991,death,270
1992,death,282
1993,death,710
1994,death,1437
1995,death,700
1996,death,670
1997,death,282
1998,death,275
1999,death,898
2000,death,301
2001,death,797
2002,death,1421
2003,death,306
2004,death,695
2005,death,1124
2006,death,297
2007,death,680
2008,death,817
2009,death,702
2010,death,297
2011,death,291
2012,death,698
2013,death,1403
2014,death,296
2015,death,1233
2016,death,302
2017,death,1140
2018,death,278
2019,death,279
2020,death,815
2021,death,856
2022,death,308
2023,death,290
2024,death,694
2025,death,312
2026,death,313
2027,death,310
2028,death,1225
2029,death,1137
2030,death,852
2031,death,698
2032,death,286
2033,death,1127
2034,death,1412
2035,death,282
2036,death,309
2037,death,1131
2038,death,864
2039,death,303
2040,death,299
2041,death,1414
2042,death,280
2043,death,1505
2044,death,711
2045,death,686
2046,death,313
2047,death,308
2048,death,316
2049,death,687
2050,death,1126
2051,death,308
2052,death,1126
2053,death,287
2054,death,305
2055,death,307
2056,death,2025
2057,death,1127
2058,death,284
2059,death,1423
2060,death,899
2061,death,704
2062,death,1420
2063,death,899
2064,death,306
2065,death,695
2066,death,687
2067,death,1127
2068,death,302
2069,death,709
2070,death,308
